time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002831,-0.4928,-0.0054,0.111,0.505
0.003452,-0.4524,-0.0346,0.1143,0.468
0.012211,-0.4187,-0.0729,0.1223,0.442
0.012974,-0.3491,-0.0774,0.135,0.382
0.016501,-0.2963,-0.0917,0.1999,0.369
0.022373,-0.2317,-0.1157,0.2644,0.37
0.026793,-0.1936,-0.1498,0.3571,0.433
0.031461,-0.1629,-0.1467,0.4493,0.5
0.042205,-0.1207,-0.1306,0.5079,0.538
0.042796,-0.0769,-0.121,0.5711,0.589
0.046665,-0.0364,-0.118,0.5916,0.604
0.054241,0.0056,-0.1028,0.5839,0.593
0.056516,0.0445,-0.109,0.5673,0.579
0.061791,0.085,-0.1269,0.5231,0.545
0.066841,0.1133,-0.1233,0.4893,0.517
0.07206,0.1439,-0.1173,0.4469,0.484
0.076432,0.1675,-0.1183,0.4055,0.454
0.081376,0.2031,-0.1261,0.3935,0.46
0.087614,0.2033,-0.1358,0.3442,0.422
0.091208,0.2254,-0.1565,0.3148,0.418
0.09623,0.2455,-0.1641,0.2718,0.401
0.106924,0.2448,-0.1538,0.2106,0.358
0.10737,0.2523,-0.1446,0.1266,0.317
0.111114,0.2635,-0.1315,0.0246,0.296
0.116148,0.2886,-0.1525,-0.081,0.336
0.125551,0.2944,-0.1879,-0.1855,0.395
0.126121,0.2958,-0.1853,-0.2652,0.438
0.130989,0.2788,-0.1921,-0.3061,0.456
0.137034,0.2672,-0.1844,-0.2755,0.426
0.140947,0.2847,-0.1476,-0.2072,0.382
0.146217,0.2974,-0.1294,-0.1871,0.374
0.154359,0.2866,-0.0962,-0.248,0.391
0.156286,0.3005,-0.1146,-0.3134,0.449
0.161095,0.3251,-0.1559,-0.3784,0.523
0.166869,0.3325,-0.2057,-0.4193,0.573
0.171147,0.3374,-0.2307,-0.479,0.63
0.175991,0.3303,-0.2455,-0.529,0.67
0.180918,0.3019,-0.2263,-0.5456,0.663
0.187718,0.2522,-0.216,-0.5814,0.669
0.191081,0.2,-0.1857,-0.5792,0.64
0.195891,0.169,-0.1404,-0.5395,0.582
0.200902,0.1394,-0.1179,-0.5052,0.537
