time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,0.92,0.51,-0.46,1.15
0.01,0.37,0.28,-1.11,1.21
0.02,-0.19,0.09,-1.55,1.56
0.03,-0.35,-0.01,-1.77,1.8
0.04,-0.06,0.01,-1.53,1.53
0.05,0.51,0.22,-0.88,1.04
0.06,0.9,0.46,-0.2,1.04
0.07,0.89,0.64,0.29,1.13
0.08,0.71,0.73,0.53,1.15
0.09,0.39,0.67,0.67,1.03
0.1,0.09,0.51,0.55,0.76
0.11,-0.02,0.39,0,0.39
0.12,0.01,0.41,-0.72,0.83
0.13,0.06,0.6,-1.32,1.45
0.14,0.16,0.91,-1.82,2.04
0.15,0.33,1.16,-2.15,2.47
0.16,0.51,1.35,-2.15,2.59
0.17,0.6,1.44,-1.9,2.46
0.18,0.59,1.44,-1.56,2.2
0.19,0.53,1.37,-1.28,1.95
0.2,0.5,1.26,-1.12,1.76
0.21,0.48,1.19,-1.07,1.67
0.22,0.45,1.26,-1.04,1.69
0.23,0.33,1.3,-0.94,1.64
0.24,0.29,1.39,-0.86,1.65
0.25,0.36,1.52,-0.87,1.79
0.26,0.44,1.7,-0.9,1.97
0.27,0.45,1.87,-0.98,2.16
0.28,0.51,2.02,-1.02,2.32
0.29,0.54,2.07,-0.92,2.33
0.3,0.57,2.1,-0.7,2.29
0.311,0.6,2.04,-0.43,2.17
0.32,0.62,1.84,-0.05,1.95
0.33,0.65,1.69,0.13,1.81
0.34,0.54,1.58,-0.06,1.67
0.35,0.38,1.61,-0.4,1.7
0.36,0.08,1.59,-0.62,1.71
0.37,-0.24,1.46,-0.74,1.66
0.38,-0.52,1.33,-0.75,1.61
0.39,-0.68,1.15,-0.77,1.54
0.4,-0.89,0.87,-0.82,1.49
0.411,-1.13,0.66,-0.92,1.6
0.42,-1.42,0.48,-0.94,1.77
0.431,-1.62,0.32,-0.65,1.78
0.44,-1.8,0.29,-0.12,1.83
0.45,-1.67,0.42,0.31,1.75
0.46,-1.23,0.52,0.61,1.47
0.471,-0.71,0.62,0.71,1.18
0.481,-0.62,0.66,0.79,1.2
0.491,-1.05,0.59,0.93,1.52
0.5,-1.32,0.4,0.96,1.68
0.511,-1.44,0.12,1.01,1.76
0.52,-1.64,0.01,1.18,2.02
0.531,-1.6,-0.08,1.38,2.12
0.541,-1.38,-0.25,1.65,2.16
0.551,-0.75,-0.49,1.89,2.1
0.561,-0.19,-0.71,1.94,2.08
0.571,0.12,-0.84,1.85,2.04
0.581,0.34,-0.8,1.45,1.69
0.591,0.44,-0.62,1.02,1.27
0.6,0.13,-0.55,0.62,0.84
0.611,-0.39,-0.55,0.27,0.73
0.621,-2.15,0.3,-0.15,2.17
0.631,-3.11,0.62,-0.77,3.26
0.641,-1.17,-0.78,-0.95,1.7
0.651,-0.21,-1.28,-1.02,1.65
0.661,-0.34,-0.92,-0.97,1.38
0.671,-0.76,-0.26,-0.92,1.23
0.681,-1.09,0.27,-0.94,1.46
0.691,-1.19,0.47,-1.1,1.69
0.701,-1.32,0.45,-1.13,1.79
0.711,-1.5,0.26,-0.84,1.74
0.721,-1.55,-0.13,-0.44,1.62
0.731,-1.56,-0.51,-0.11,1.65
0.741,-1.54,-0.84,0.21,1.77
0.751,-1.53,-1.03,0.48,1.91
