time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,0.21,-2.35,2.67,3.56
0.01,-0.89,-2.73,1.96,3.48
0.02,-1.89,-2.59,0.71,3.29
0.03,-2.41,-2.27,-0.42,3.34
0.04,-2.34,-1.76,-1.09,3.12
0.05,-1.86,-1.26,-1.28,2.58
0.06,-1.25,-0.86,-1.16,1.91
0.07,-0.71,-0.57,-0.84,1.23
0.08,-0.28,-0.31,-0.39,0.58
0.09,-0.02,-0.14,0.02,0.15
0.1,0.08,-0.12,0.28,0.31
0.11,0.09,-0.2,0.4,0.46
0.12,0.08,-0.32,0.41,0.53
0.13,0.01,-0.46,0.35,0.58
0.14,-0.13,-0.56,0.26,0.63
0.15,-0.22,-0.66,0.24,0.74
0.16,-0.2,-0.75,0.38,0.87
0.17,-0.16,-0.81,0.54,0.98
0.18,-0.07,-0.85,0.68,1.1
0.19,-0.02,-0.88,0.77,1.17
0.2,0,-0.88,0.72,1.14
0.211,-0.03,-0.89,0.56,1.05
0.22,-0.08,-0.89,0.31,0.95
0.23,-0.14,-0.84,0.18,0.87
0.24,-0.15,-0.78,0.26,0.83
0.25,-0.08,-0.76,0.42,0.87
0.26,0.1,-0.75,0.47,0.89
0.27,0.24,-0.7,0.47,0.88
0.28,0.33,-0.61,0.42,0.81
0.29,0.37,-0.52,0.37,0.74
0.3,0.4,-0.46,0.26,0.66
0.31,0.49,-0.37,0.08,0.62
0.32,0.53,-0.26,-0.1,0.6
0.33,0.52,-0.14,-0.18,0.57
0.34,0.47,-0.09,-0.11,0.49
0.35,0.41,-0.14,-0.03,0.44
0.36,0.42,-0.24,0.04,0.48
0.37,0.41,-0.34,0.02,0.53
0.38,0.43,-0.38,0,0.57
0.39,0.43,-0.39,0.09,0.59
0.4,0.38,-0.48,0.26,0.67
0.41,0.37,-0.6,0.43,0.83
0.42,0.36,-0.71,0.6,1
0.43,0.2,-0.78,0.74,1.09
0.44,-0.19,-0.75,0.88,1.18
0.45,-0.66,-0.6,0.8,1.2
0.46,-0.76,-0.51,0.4,0.99
0.47,-0.45,-0.61,-0.14,0.77
0.48,0.06,-0.66,-0.35,0.75
0.49,0.46,-0.66,0.06,0.81
0.501,0.6,-0.82,0.71,1.24
0.51,0.52,-1.21,1.24,1.81
0.52,0.4,-1.49,1.7,2.29
0.531,0.2,-1.61,1.97,2.56
0.541,-0.09,-1.68,1.98,2.59
0.55,-0.33,-1.59,1.58,2.27
0.56,-0.4,-1.44,0.91,1.75
0.571,-0.31,-1.21,0.21,1.27
0.581,-0.18,-0.94,-0.26,0.99
0.591,-0.1,-0.71,-0.5,0.88
0.601,-0.06,-0.61,-0.62,0.87
0.61,-0.03,-0.56,-0.61,0.83
0.621,-0.03,-0.55,-0.48,0.73
0.631,-0.03,-0.58,-0.28,0.64
0.641,-0.09,-0.66,-0.15,0.68
0.651,-0.18,-0.71,-0.08,0.74
0.661,-0.32,-0.73,-0.06,0.81
0.671,-0.48,-0.77,-0.07,0.91
0.681,-0.53,-0.74,-0.09,0.92
0.691,-0.48,-0.69,-0.07,0.84
0.701,-0.39,-0.66,0,0.77
0.711,-0.36,-0.62,0.04,0.72
0.721,-0.41,-0.65,0.13,0.78
0.731,-0.5,-0.77,0.24,0.95
0.741,-0.61,-0.87,0.32,1.11
0.751,-0.68,-0.95,0.38,1.23
0.761,-0.74,-1.03,0.44,1.34
0.771,-0.76,-1.05,0.5,1.39
0.781,-0.73,-1.06,0.6,1.42
0.791,-0.72,-1.07,0.67,1.45
0.801,-0.73,-1.03,0.71,1.45
0.811,-0.75,-0.92,0.63,1.35
0.821,-0.81,-0.84,0.51,1.27
0.831,-0.92,-0.78,0.34,1.25
0.841,-0.95,-0.72,0.15,1.21
0.851,-0.92,-0.65,0.04,1.13
0.861,-0.9,-0.57,0.01,1.06
0.871,-0.94,-0.56,0.05,1.09
0.881,-0.91,-0.55,0.08,1.07
0.891,-0.89,-0.49,0.08,1.02
0.901,-0.98,-0.45,0.1,1.08
0.911,-1.07,-0.46,0.07,1.16
0.921,-1.09,-0.41,0.07,1.17
0.931,-1.09,-0.32,0.04,1.14
0.941,-1.06,-0.22,0.02,1.08
0.951,-1.06,-0.16,0.05,1.08
0.961,-1.07,-0.18,0.14,1.1
0.971,-1.04,-0.26,0.26,1.1
0.981,-1,-0.35,0.4,1.13
0.991,-1.03,-0.43,0.52,1.23
1.001,-1.1,-0.53,0.6,1.36
1.011,-1.16,-0.64,0.72,1.5
1.021,-1.21,-0.72,0.83,1.64
1.031,-1.23,-0.71,0.87,1.67
1.041,-1.18,-0.68,0.85,1.6
1.051,-1.15,-0.59,0.73,1.49
1.061,-1.19,-0.52,0.58,1.42
1.071,-1.25,-0.45,0.4,1.39
1.081,-1.32,-0.37,0.2,1.38
1.091,-1.4,-0.33,0.08,1.44
1.101,-1.43,-0.34,0.03,1.47
1.111,-1.45,-0.37,0.04,1.5
1.121,-1.5,-0.4,0.08,1.55
1.131,-1.54,-0.44,0.12,1.61
1.141,-1.59,-0.47,0.19,1.66
1.151,-1.65,-0.54,0.23,1.75
1.161,-1.7,-0.63,0.28,1.84
1.171,-1.74,-0.71,0.31,1.9
1.181,-1.68,-0.74,0.38,1.87
1.191,-1.61,-0.79,0.5,1.86
1.201,-1.49,-0.83,0.6,1.81
1.211,-1.34,-0.84,0.61,1.69
1.221,-1.3,-0.87,0.51,1.64
1.231,-1.37,-0.96,0.41,1.72
1.241,-1.43,-1.05,0.37,1.81
1.251,-1.43,-1.1,0.37,1.84
1.261,-1.42,-1.11,0.34,1.84
1.271,-1.41,-1.07,0.3,1.8
1.281,-1.39,-1.01,0.17,1.73
1.291,-1.3,-0.93,0.01,1.6
1.301,-1.16,-0.82,-0.12,1.43
1.311,-1.11,-0.71,-0.18,1.33
1.321,-1.11,-0.66,-0.17,1.3
1.331,-1.04,-0.64,-0.18,1.23
1.341,-0.94,-0.58,-0.16,1.11
1.351,-0.86,-0.52,-0.16,1.02
1.361,-0.84,-0.45,-0.16,0.97
1.371,-0.87,-0.37,-0.19,0.97
