time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,0.13,0.07,0.18,0.24
0.01,-0.02,0.15,0.35,0.38
0.02,0.03,0.26,0.47,0.54
0.03,0.18,0.32,0.52,0.63
0.04,0.22,0.41,0.54,0.71
0.05,0.12,0.55,0.57,0.8
0.06,-0.01,0.67,0.54,0.86
0.07,-0.14,0.73,0.43,0.86
0.08,-0.24,0.69,0.22,0.76
0.09,-0.32,0.58,0.14,0.68
0.1,-0.49,0.44,0.29,0.71
0.11,-0.67,0.29,0.4,0.83
0.12,-0.85,0.29,0.32,0.95
0.13,-1.02,0.44,0.01,1.11
0.14,-1.2,0.72,-0.49,1.49
0.15,-1.3,1.03,-1.03,1.95
0.16,-1.32,1.32,-1.52,2.41
0.17,-1.29,1.56,-1.94,2.8
0.18,-1.16,1.71,-2.23,3.04
0.19,-0.95,1.79,-2.45,3.18
0.2,-0.76,1.74,-2.5,3.14
0.21,-0.68,1.54,-2.38,2.91
0.22,-0.72,1.25,-1.99,2.46
0.23,-0.78,0.94,-1.42,1.87
0.24,-0.84,0.7,-0.9,1.41
0.25,-0.98,0.52,-0.41,1.18
0.26,-1.17,0.43,-0.05,1.25
0.27,-1.32,0.37,0.05,1.37
0.28,-1.36,0.31,0.05,1.39
0.29,-1.31,0.27,-0.01,1.34
0.3,-1.2,0.42,-0.09,1.27
0.31,-1.05,0.65,-0.22,1.25
0.32,-0.85,0.92,-0.34,1.29
0.33,-0.61,1.17,-0.45,1.4
0.34,-0.44,1.45,-0.57,1.62
0.35,-0.36,1.68,-0.72,1.86
0.36,-0.36,1.87,-0.95,2.13
0.37,-0.34,1.99,-1.22,2.36
0.38,-0.31,1.99,-1.44,2.48
0.39,-0.31,1.93,-1.5,2.46
0.4,-0.4,1.78,-1.34,2.26
0.41,-0.54,1.58,-1.08,1.99
0.42,-0.58,1.4,-0.85,1.73
0.43,-0.6,1.25,-0.66,1.53
0.44,-0.6,1.12,-0.47,1.36
0.45,-0.61,1.05,-0.26,1.24
0.46,-0.58,1.01,-0.13,1.17
0.47,-0.52,1,-0.11,1.14
0.48,-0.45,1.03,-0.07,1.13
0.49,-0.3,1.02,-0.05,1.07
0.501,-0.08,1.01,-0.03,1.02
0.511,0.08,0.97,0.1,0.98
0.52,0.16,0.87,0.26,0.92
0.531,0.09,0.74,0.39,0.84
0.541,-0.01,0.64,0.46,0.79
0.551,-0.13,0.63,0.38,0.75
0.561,-0.22,0.69,0.23,0.76
0.571,-0.24,0.77,0.05,0.8
0.581,-0.22,0.86,-0.16,0.9
0.591,-0.19,0.95,-0.26,1
0.601,-0.32,1.09,-0.21,1.15
0.611,-0.49,1.32,-0.18,1.42
0.621,-0.46,1.44,-0.4,1.56
0.631,-0.11,1.38,-0.75,1.58
0.641,0.33,1.25,-1.01,1.64
0.651,0.61,1.13,-1.14,1.72
0.661,0.7,1.01,-0.95,1.56
0.671,0.7,0.82,-0.45,1.17
0.681,0.72,0.57,0.31,0.97
0.691,0.84,0.22,1.05,1.37
0.701,0.9,-0.14,1.82,2.03
0.711,1,-0.42,2.53,2.75
0.721,1.17,-0.77,3.17,3.47
0.731,1.45,-1.17,3.58,4.04
0.741,1.6,-1.43,3.81,4.37
0.751,1.58,-1.51,3.8,4.38
0.761,1.46,-1.45,3.51,4.07
0.771,1.44,-1.32,2.81,3.42
0.781,1.5,-1.12,1.9,2.67
0.791,1.62,-0.86,0.97,2.07
0.801,1.73,-0.67,0.14,1.86
0.811,1.81,-0.52,-0.47,1.94
0.821,1.83,-0.42,-0.82,2.05
0.831,1.72,-0.42,-0.88,1.97
