time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,-0.23,1.76,0.7,1.91
0.01,-0.37,1.83,0.15,1.87
0.02,-0.44,1.74,0.22,1.81
0.03,-0.45,1.47,0.5,1.62
0.04,-0.62,1.16,0.47,1.4
0.05,-0.71,1.01,0.11,1.24
0.06,-0.61,1.59,-0.41,1.75
0.069,-0.79,2.02,-1.44,2.6
0.079,-1.19,1.79,-2.85,3.57
0.089,-1.37,1.39,-3.72,4.2
0.099,-1.4,0.96,-3.5,3.89
0.109,-1.29,0.53,-2.26,2.65
0.119,-1.1,0.12,-0.69,1.3
0.129,-1.22,-0.54,0.43,1.4
0.139,-1.73,-1.18,0.95,2.29
0.149,-2.11,-1.2,0.24,2.44
0.159,-1.89,-1.27,-0.96,2.48
0.169,-1.84,-1.35,-2.24,3.2
0.179,-2.25,-1.42,-3.04,4.04
0.189,-2.7,-1.41,-3.67,4.77
0.199,-2.91,-1.55,-4.35,5.46
0.208,-2.75,-2.28,-5.06,6.2
0.219,-2.22,-3.02,-6.07,7.13
0.228,-1.28,-3.29,-7.19,8.01
0.238,-0.83,-3.75,-8.32,9.16
0.248,-0.98,-4.47,-9.22,10.3
0.258,-1.34,-5.04,-9.85,11.14
0.268,-1.56,-5.07,-9.94,11.26
0.278,-2.75,-4.46,-9.64,10.97
0.288,-4.66,-4.54,-9.18,11.25
0.298,-5.27,-5.71,-8.42,11.45
0.308,-3.69,-6.85,-7.49,10.8
0.318,-0.79,-7.49,-5.46,9.31
0.328,3.3,-7.77,-3.82,9.26
0.338,5.54,-8.15,-3.83,10.57
0.348,6.19,-8.58,-4.57,11.52
0.357,5.97,-8.69,-5.36,11.83
0.367,4.12,-8.16,-5.45,10.64
0.377,0.93,-7.4,-5.47,9.25
0.387,-1.24,-6.45,-5.36,8.48
0.397,-2.14,-5.58,-4.54,7.51
0.407,-1.8,-5.22,-3.5,6.54
0.417,-0.78,-5.22,-2.42,5.8
0.427,0.03,-5.56,-1.16,5.68
0.437,0.73,-6.06,0.45,6.12
0.447,0.67,-6.5,2.28,6.93
0.457,-0.2,-6.62,4.19,7.84
0.467,-1.6,-6.03,6.09,8.72
0.477,-3.16,-5.08,7.08,9.27
0.487,-4.33,-4.56,6.65,9.15
0.497,-4.94,-4.43,5.37,8.54
0.506,-5.66,-4.72,4.51,8.64
0.516,-6.43,-5,4.66,9.38
0.526,-6.95,-4.97,5.96,10.42
0.536,-7.46,-4.45,7.76,11.64
0.546,-8.46,-3.65,9.14,12.98
0.556,-9.75,-2.58,9.65,13.96
0.566,-11.38,-1.49,9.56,14.94
0.576,-13.17,0.05,9.32,16.13
0.586,-15.44,1.69,9.47,18.19
0.596,-17.95,3.23,9.97,20.78
0.606,-19.61,4.78,10.2,22.61
0.616,-20.75,6.3,9.98,23.87
0.626,-21.53,7.68,9.47,24.74
0.636,-22.19,8.77,8.81,25.43
0.646,-22.62,9.14,7.89,25.64
0.656,-22.54,8.42,6.8,25.01
0.666,-21.94,6.87,5.96,23.75
0.676,-20.98,4.9,5.34,22.2
0.686,-19.53,3.46,4.37,20.31
0.695,-17.66,2.84,2.76,18.1
0.705,-15.69,2.69,1.47,15.99
0.715,-14.29,2.52,1.35,14.57
0.725,-13.32,2.08,2.01,13.63
0.735,-12.51,1.45,2.85,12.91
0.745,-11.56,0.68,3.46,12.09
0.755,-10.78,-0.3,3.81,11.44
0.765,-10.29,-1.61,4.19,11.23
0.775,-9.78,-2.98,4.51,11.18
0.784,-9.39,-4,4.87,11.31
0.794,-9.2,-4.82,5.25,11.64
0.804,-9.11,-5.5,5.66,12.06
0.814,-8.85,-5.86,6.13,12.26
0.824,-8.48,-5.93,6.57,12.26
0.834,-8.02,-5.79,6.79,12
0.844,-7.69,-5.69,6.85,11.77
