time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,0.21,0.07,-0.82,0.85
0.01,0.29,0.13,-0.73,0.79
0.02,0.2,0.12,-0.45,0.51
0.03,0.03,0.03,-0.04,0.06
0.04,-0.1,-0.04,0.35,0.36
0.05,-0.18,-0.04,0.56,0.59
0.06,-0.18,0,0.55,0.58
0.07,-0.11,0,0.37,0.39
0.08,-0.01,-0.03,0.15,0.15
0.09,0.05,-0.02,-0.06,0.08
0.101,0.03,0.04,-0.2,0.2
0.11,-0.04,0.09,-0.2,0.22
0.12,-0.11,0.1,-0.17,0.23
0.13,-0.14,0.08,-0.11,0.2
0.141,-0.14,0.08,-0.08,0.18
0.15,-0.1,0.04,-0.07,0.13
0.161,-0.05,-0.03,-0.04,0.07
0.17,-0.03,-0.06,0,0.06
0.181,-0.01,-0.05,0.03,0.06
0.191,-0.01,-0.03,-0.02,0.04
0.201,-0.01,-0.03,-0.11,0.11
0.21,-0.02,0,-0.12,0.13
0.221,-0.05,0.05,-0.13,0.14
0.231,-0.04,0.08,-0.15,0.18
0.241,0,0.1,-0.2,0.23
0.251,0.05,0.1,-0.22,0.24
0.261,0.03,0.04,-0.16,0.17
0.271,0,-0.03,-0.08,0.08
0.281,-0.02,-0.06,0.02,0.07
0.291,-0.03,-0.06,0.08,0.11
0.301,-0.01,-0.05,0.09,0.1
0.311,0.03,-0.02,0.06,0.07
0.321,0.03,0,0.02,0.03
0.331,0.01,0,-0.02,0.02
0.341,-0.02,0.02,-0.05,0.06
0.351,-0.02,0.02,-0.07,0.08
0.361,-0.02,0.03,-0.02,0.04
0.371,-0.04,0.04,0.03,0.06
0.381,-0.05,0.02,0.06,0.08
0.391,-0.05,0.01,0.05,0.07
0.401,-0.07,0.03,0.04,0.08
0.411,-0.07,0.03,0.03,0.09
0.421,-0.09,0.02,0.02,0.1
0.431,-0.05,0.03,-0.01,0.06
0.442,-0.04,0.04,-0.02,0.06
