time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,-1.29,-0.3,1.55,2.04
0.01,-1.3,-0.16,0.99,1.64
0.02,-1.1,0.19,0.4,1.19
0.03,-0.94,0.65,0.26,1.17
0.04,-0.89,0.86,0.53,1.35
0.05,-0.73,0.86,0.9,1.44
0.06,-0.51,0.71,1.25,1.52
0.07,-0.39,0.36,1.58,1.66
0.079,-0.51,-0.14,1.73,1.81
0.089,-0.89,-0.56,1.57,1.89
0.099,-1.3,-0.83,1.27,2
0.109,-1.58,-0.87,0.95,2.04
0.119,-1.65,-0.82,0.62,1.95
0.129,-1.55,-0.86,0.54,1.85
0.139,-1.22,-0.96,0.81,1.76
0.149,-0.75,-0.99,1.24,1.76
0.159,-0.24,-0.92,1.63,1.89
0.169,0.16,-0.9,1.92,2.13
0.179,0.31,-0.97,2.14,2.37
0.189,0.31,-1.13,2.17,2.47
0.199,0.21,-1.23,1.91,2.28
0.209,0.12,-1.23,1.41,1.88
0.219,-0.1,-1.19,0.87,1.48
0.228,-0.28,-1.19,0.32,1.27
0.238,-0.46,-1.22,-0.16,1.32
0.248,-0.54,-1.31,-0.54,1.51
0.258,-0.54,-1.34,-0.92,1.71
0.268,-0.48,-1.16,-1.24,1.76
0.278,-0.33,-0.84,-1.48,1.73
0.288,-0.11,-0.49,-1.67,1.74
0.298,0.04,-0.11,-1.81,1.81
0.308,0.12,0.15,-1.89,1.9
0.318,0.13,0.44,-1.92,1.98
0.328,-0.05,0.61,-1.93,2.03
0.338,-0.36,0.72,-1.93,2.09
0.348,-0.59,0.73,-1.92,2.13
0.358,-0.65,0.64,-1.83,2.05
0.368,-0.63,0.48,-1.64,1.82
0.377,-0.64,0.35,-1.29,1.48
0.387,-0.56,0.1,-1,1.16
0.397,-0.49,-0.16,-0.78,0.94
0.407,-0.38,-0.31,-0.54,0.73
0.417,-0.33,-0.35,-0.28,0.56
0.427,-0.23,-0.34,-0.07,0.42
0.437,-0.05,-0.28,-0.03,0.28
0.447,0.07,-0.13,-0.08,0.17
0.457,0.16,0.1,-0.16,0.24
0.467,0.19,0.21,-0.38,0.47
0.477,0.2,0.2,-0.61,0.68
0.487,0.07,0.16,-0.81,0.83
0.497,-0.12,0.09,-1.02,1.03
0.507,-0.28,0.07,-1.15,1.19
0.516,-0.36,0.16,-1.26,1.32
0.526,-0.32,0.31,-1.32,1.4
0.536,-0.24,0.39,-1.27,1.35
0.546,-0.15,0.45,-0.96,1.07
0.556,-0.04,0.48,-0.39,0.62
0.566,0.01,0.35,0.23,0.42
0.576,-0.04,0.21,0.8,0.83
0.586,-0.18,0.24,1.19,1.22
